0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,0,0,0.5
1e-07,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,1e-07,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,1e-07,0,0,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,1e-07,0,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,1e-07,0,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,1e-07,0,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,1e-07,0,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,1e-07,0,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,1e-07,0,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,1e-07,0,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,1e-07,0,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,1e-07,0,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,0,1e-07,0.5
0,0.23973,0.0079911,0,0,0,0,0,0,0,0,0,0,0,0,0.5
2.3728e-15,0.23838,0.0079011,2.3093e-13,-1.6118e-13,0.00027252,1.0647e-05,-9.277e-16,-2.3048e-15,2.2372e-07,1.8351e-08,-5.9884e-16,-9.4122e-16,8.5439e-11,1.142e-11,0.5
2.3728e-15,0.23838,0.0079011,2.3093e-13,-1.6118e-13,0.00027252,1.0647e-05,-9.277e-16,-2.3048e-15,2.2372e-07,1.8351e-08,-5.9884e-16,-9.4122e-16,8.5439e-11,1.142e-11,0.5
2.3728e-15,0.23838,0.0079011,2.3093e-13,-1.6118e-13,0.00027252,1.0647e-05,-9.277e-16,-2.3048e-15,2.2372e-07,1.8351e-08,-5.9884e-16,-9.4122e-16,8.5439e-11,1.142e-11,0.5
2.3728e-15,0.23838,0.0079011,2.3093e-13,-1.6118e-13,0.00027252,1.0647e-05,-9.277e-16,-2.3048e-15,2.2372e-07,1.8351e-08,-5.9884e-16,-9.4122e-16,8.5439e-11,1.142e-11,0.5
2.3728e-15,0.23838,0.0079011,2.3093e-13,-1.6118e-13,0.00027252,1.0647e-05,-9.277e-16,-2.3048e-15,2.2372e-07,1.8351e-08,-5.9884e-16,-9.4122e-16,8.5439e-11,1.142e-11,0.5
