Om,newton_iter,normR,stepnorm
1.1285184249114808e+00,40,4.9545886010351919e-07,4.5538757360836850e-06
1.1240856802283570e+00,41,4.6098551427430220e-04,9.8688417375644970e-04
1.1245625495725711e+00,42,4.2880952644010600e-07,4.2606831302057749e-06
1.1210622683374381e+00,43,4.2559600652753782e-04,9.8771164692873395e-04
1.1214746352584000e+00,44,3.7760030830457139e-07,4.0233695561574045e-06
1.1187816755698696e+00,45,3.9649585682051863e-04,9.9930857817749370e-04
1.1191414721621842e+00,46,3.3755542673493639e-07,3.8336025177693318e-06
1.1171536879654278e+00,47,3.7248810532405436e-04,1.0191886647910994e-03
1.1174701680466770e+00,48,3.0587757180953529e-07,3.6847743245881571e-06
1.1161032485260272e+00,49,3.5262282291987669e-04,1.0458299622374372e-03
1.1163836334250268e+00,50,2.8059512640052028e-07,3.5711002464717320e-06
1.1155671921501416e+00,51,3.3614460664035912e-04,1.0783637474496698e-03
1.1158171562467851e+00,52,2.6030302980107310e-07,3.4880127348639229e-06
1.1154917562620377e+00,53,3.2245073001487077e-04,1.1163728549218269e-03
1.1157157906429087e+00,54,2.4396487963123938e-07,3.4319129345046341e-06
1.1158306685831454e+00,55,3.1105823319555560e-04,1.1597655929216980e-03
1.1160323535467969e+00,56,2.3079780366075950e-07,3.4000520363466507e-06
1.1165436674872327e+00,57,3.0157814331508603e-04,1.2087041337544382e-03
1.1167258773961330e+00,58,2.2021652320691060e-07,3.3904168421220707e-06
1.1175953480109750e+00,59,2.9369657962360711e-04,1.2282584907959203e-03
1.1177604070559426e+00,60,2.1175410721708453e-07,3.3288291748649955e-06
1.1189542579801008e+00,61,2.8715884875832846e-04,1.2000378809142720e-03
1.1191040585834193e+00,62,2.0499738049659114e-07,3.1307520850273891e-06
1.1205921845383282e+00,63,2.8175816416809612e-04,1.1744667274425622e-03
1.1207282787468424e+00,64,1.9969389733946930e-07,2.9576470119376051e-06
1.1224835895006899e+00,65,2.7732592744326903e-04,1.1512137250201061e-03
1.1226072597959027e+00,66,1.9557516979506084e-07,2.8048381041235584e-06
1.1246051604798046e+00,67,2.7372474035318949e-04,1.1300062169365139e-03
1.1247174751724269e+00,68,1.9244256411959325e-07,2.6690797192932828e-06
1.1269354534565430e+00,69,2.7084226209536210e-04,1.1106160621293156e-03
1.1270373102823967e+00,70,1.9011527618946266e-07,2.5473741195907781e-06
1.1294546076845302e+00,71,2.6858664632031294e-04,1.0928523112401717e-03
1.1295467684248468e+00,72,1.8844981499207171e-07,2.4376666951616443e-06
1.1321441183353333e+00,73,2.6688262252513189e-04,1.0765533427934146e-03
1.1322272365315280e+00,74,1.8726637789187082e-07,2.3373744986971736e-06
1.1349866557960424e+00,75,2.6566903183095070e-04,1.0615897642934794e-03
1.1350612983698563e+00,76,1.8682951200111701e-07,2.2429323861247918e-06
1.1379659208405344e+00,77,2.6489404846791068e-04,1.0478401528343996e-03
1.1380325873232298e+00,78,1.8626055748658629e-07,2.1629721996712397e-06
1.1410665335685175e+00,79,2.6451610723268460e-04,1.0352260964447398e-03
1.1411256675399688e+00,80,1.8611603270993175e-07,2.0852563876533407e-06
1.1442739387926864e+00,81,2.6450056364908024e-04,1.0236578636137318e-03
1.1443259430838102e+00,82,1.8541396063039938e-07,2.0118236056518972e-06
1.1475743402478074e+00,83,2.6481593469667732e-04,1.0130835689620378e-03
1.1476195803239215e+00,84,1.8631714040097912e-07,1.9454384857499577e-06
1.1509546390460317e+00,85,2.6544192034886878e-04,1.0034446506968168e-03
1.1509934587302009e+00,86,1.8653231718943421e-07,1.8820493676023948e-06
1.1544023982124394e+00,87,2.6635191071545971e-04,9.9470579438196214e-04
1.1544351174330172e+00,88,1.8676366666173792e-07,1.8222505040435529e-06
1.1579058007332939e+00,89,2.6752865195470962e-04,9.8684079556274665e-04
1.1579327236389363e+00,90,1.8697901929117974e-07,1.7657544719757820e-06
1.1614536254115533e+00,91,2.6895398515659790e-04,9.7982022874880999e-04
1.1614750433166250e+00,92,1.8714135499350727e-07,1.7121785728687787e-06
1.1650352253885974e+00,93,2.7061215708192195e-04,9.7364473203480361e-04
1.1650514180496325e+00,94,1.8723140798518506e-07,1.6615506790131661e-06
1.1686405067335370e+00,95,2.7248795484841905e-04,9.6829905457983614e-04
1.1686517456211263e+00,96,1.8723203328355164e-07,1.6126810696733633e-06
1.1722599144592216e+00,97,2.7456655777980353e-04,9.6378194768315898e-04
1.1722664632509294e+00,98,1.8713034212819773e-07,1.5663506083852726e-06
1.1758844172866729e+00,99,2.7683357765983808e-04,9.6010008485074197e-04
1.1758865323278791e+00,100,1.8691665892846533e-07,1.5220937052834654e-06
1.1795054940181304e+00,101,2.7927476637147619e-04,9.5727233938559125e-04
1.1795034240158380e+00,102,1.8659190125452270e-07,1.4797624153281833e-06
1.1831151173999150e+00,103,2.8187612875314521e-04,9.5530673160367462e-04
1.1831091050576623e+00,104,1.8615445495795871e-07,1.4392289750499238e-06
1.1867057426841896e+00,105,2.8462352958750706e-04,9.5422655628381661e-04
1.1866960234541879e+00,106,1.8560047262561516e-07,1.4004068924709933e-06
1.1902702916379946e+00,107,2.8750269332255326e-04,9.5405832986736935e-04
1.1902570936815722e+00,108,1.8495852299457399e-07,1.3632166505078712e-06
1.1938021374751886e+00,109,2.9049971516677335e-04,9.5483320196352770e-04
1.1937856813756160e+00,110,1.8419711276824157e-07,1.3281696551896151e-06
1.1972950885043869e+00,111,2.9360044944261836e-04,9.5658410944294420e-04
1.1972755872604206e+00,112,1.8335287737599241e-07,1.2932946463314499e-06
1.2007433722986991e+00,113,2.9679079890939812e-04,9.5935247653140365e-04
1.2007210304768725e+00,114,1.8243184720631274e-07,1.2606686983847952e-06
1.2041416176029323e+00,115,3.0005716223005275e-04,9.6318446711160706e-04
1.2041166314139715e+00,116,1.8143621184522218e-07,1.2292104123254827e-06
1.2074848368206270e+00,117,3.0338592477283403e-04,9.6813143125582229e-04
1.2074573937769031e+00,118,1.8037348962229941e-07,1.1991509671504464e-06
1.2107684080690377e+00,119,3.0676377746240478e-04,9.7425356463302665e-04
1.2107386865734140e+00,120,1.7924543028673938e-07,1.1701443322665036e-06
1.2139880559683711e+00,121,3.1017767433194908e-04,9.8161534168712122e-04
1.2139562255375846e+00,122,1.7809540094532461e-07,1.1425188270152558e-06
1.2171398339299082e+00,123,3.1361533507827779e-04,9.9029327642975512e-04
1.2171060547992170e+00,124,1.7690223449430594e-07,1.1158970710047659e-06
1.2202201045390120e+00,125,3.1706431622773875e-04,1.0003681136192314e-03
1.2201845281972767e+00,126,1.7567074062671914e-07,1.0905634052401426e-06
1.2232255217045949e+00,127,3.2051321761120377e-04,1.0119110219906401e-03
1.2231882933214355e+00,128,1.7456808034433618e-07,1.0454506874535412e-06
1.2261530161742651e+00,129,3.2395179434807858e-04,1.0251226527300391e-03
1.2261142620156904e+00,130,1.7319977196109698e-07,1.0433261417346472e-06
1.2289997656082194e+00,131,3.2736693218375488e-04,1.0400003650708602e-03
1.2289596165333174e+00,132,1.7157608925121439e-07,1.0197279377663168e-06
1.2317631955458712e+00,133,3.3075018480033345e-04,1.0567819167752891e-03
1.2317217650424157e+00,134,1.6370718553367301e-07,1.0298421026830911e-06
1.2344409654530999e+00,135,3.3409277892188080e-04,1.0756907441693715e-03
1.2343983439764357e+00,136,1.6913346507039678e-07,9.6178709777878045e-07
1.2370308678402409e+00,137,3.3738753959177862e-04,1.0965509159444476e-03
1.2369871915666115e+00,138,1.6854207558143071e-07,9.7452789060799930e-07
1.2395309918678159e+00,139,3.4062021256625163e-04,1.1198817928974177e-03
1.2394863441655863e+00,140,1.6684652939583570e-07,9.5553941399407610e-07
1.2419395670534052e+00,141,3.4376269490343206e-04,1.1458825613280010e-03
1.2418940077031559e+00,142,1.6568911759643414e-07,8.7508948076940116e-07
1.2442549001720316e+00,143,3.4688150786155316e-04,1.1750238751085393e-03
1.2442085379958734e+00,144,1.6141315777963173e-07,9.1640062984199552e-07
1.2464755645005792e+00,145,3.4989367553047682e-04,1.1524124581432438e-03
1.2464284599879778e+00,146,1.6434972419868343e-07,8.9545484338880351e-07
1.2486002064645811e+00,147,3.5282086957195551e-04,1.1106661571506293e-03
1.2485524363574185e+00,148,1.6194593933828035e-07,8.5481375384486039e-07
1.2506276193432533e+00,149,3.5565613239374206e-04,1.0729803657812361e-03
1.2505792349520979e+00,150,1.6133916455248600e-07,6.8936174568061390e-07
1.2525566901253649e+00,151,3.5839337011461689e-04,1.0389185490458973e-03
1.2525077374977609e+00,152,1.6036216402090300e-07,6.7157313443746796e-07
1.2543864068535511e+00,153,3.6102453892991235e-04,1.0078983790608336e-03
1.2543369493852665e+00,154,1.5925268700463674e-07,6.1841116624310029e-07
1.2561158729337061e+00,155,3.6355043719705241e-04,9.7974287243980120e-04
1.2560659527626692e+00,156,1.5783584085155503e-07,5.6803999131460277e-07
1.2577442610475680e+00,157,3.6596510454487021e-04,9.5415897260234207e-04
1.2576939170761110e+00,158,1.5741290790479402e-07,5.2403469831311956e-07
1.2592708183320849e+00,159,3.6826443557252524e-04,9.3088150478579427e-04
1.2592200893840388e+00,160,1.5643863097494948e-07,4.8135256089579867e-07
1.2606948648489711e+00,161,3.7044510030200456e-04,9.0971784607173718e-04
1.2606437835030213e+00,162,1.5557555749011123e-07,4.4155831854472321e-07
1.2620157786456989e+00,163,3.7250372403909403e-04,8.9048630630381316e-04
1.2619643745225739e+00,164,1.5474515975029506e-07,4.0375581412137148e-07
1.2632329919905521e+00,165,3.7443730263804714e-04,8.7302977931752034e-04
1.2631812917591849e+00,166,1.5395864510892975e-07,3.6899373280707534e-07
1.2643459862870987e+00,167,3.7624353943411967e-04,8.5721760085370410e-04
1.2642940126347768e+00,168,1.5321124884908145e-07,3.3574660092275878e-07
1.2653542828561042e+00,169,3.7791959276079672e-04,8.4292479173439733e-04
1.2653020570792295e+00,170,1.5249986268054108e-07,3.0417228418321188e-07
1.2662574426210012e+00,171,3.7946365528388035e-04,8.3006266981920098e-04
1.2662049812069778e+00,172,1.5195813474260321e-07,2.8109481439632225e-07
1.2670550552183262e+00,173,3.8087306000959712e-04,8.1850408039355743e-04
1.2670023781145021e+00,174,1.5119285072239780e-07,2.4557794322008003e-07
1.2677467456606584e+00,175,3.8214687325675617e-04,8.0822477429217440e-04
1.2676938623273690e+00,176,1.5063527032408542e-07,2.1940657117520996e-07
1.2683321530744140e+00,177,3.8328208300582078e-04,7.9911200515292717e-04
1.2682790779941258e+00,178,1.5002129631477338e-07,1.9100885034827962e-07
1.2688109458374668e+00,179,3.8427847240613520e-04,7.9113826223683700e-04
1.2687576869982256e+00,180,1.4950573159934809e-07,1.6689640408221217e-07
1.2691828041601112e+00,181,3.8513376737180468e-04,7.8423743713218279e-04
1.2691293704456204e+00,182,1.4901844752620056e-07,1.4275951662961990e-07
1.2694474239147160e+00,183,3.8584716209067908e-04,7.7836586193216729e-04
1.2693938230825796e+00,184,1.4816464704670497e-07,1.1972627270168406e-07
1.2696045147766981e+00,185,3.8641667331462025e-04,7.7349636396836807e-04
1.2695507515112401e+00,186,1.4802590754000792e-07,9.7911631106463143e-08
1.2696537933040293e+00,187,3.8684230081627129e-04,7.6959771810951468e-04
1.2695998722051058e+00,188,1.4775580407794976e-07,7.6634374904944328e-08
1.2695949819089536e+00,189,3.8712260407677823e-04,7.6662832318038902e-04
1.2695409093517751e+00,190,1.4756780357023649e-07,5.7797098109691623e-08
1.2694278172405726e+00,191,3.8725550073664440e-04,7.6463161903071025e-04
1.2693735887165190e+00,192,1.4582999465840258e-07,5.3886050723196187e-08
1.2691520214561749e+00,193,3.8724185039902846e-04,7.6344247825922739e-04
1.2690976568242558e+00,194,1.4838221613017655e-07,6.8080244474557736e-08
1.2687673698072446e+00,195,3.8709823360981574e-04,7.6346007468110666e-04
1.2687128241075150e+00,196,1.4434433941634613e-07,5.0563905479876572e-08
1.2682735209313138e+00,197,3.8676687405815943e-04,7.6402020649777474e-04
1.2682188477937222e+00,198,1.4522471906212070e-07,5.6835513182198118e-08
1.2676702821400878e+00,199,3.8630787542201283e-04,7.6557947073925168e-04
1.2676154719580564e+00,200,1.5216082162480363e-07,1.3347996955900728e-07
1.2669573824144247e+00,201,3.8569925901316338e-04,7.6826631027045655e-04
1.2669024046909163e+00,202,1.4289131591129989e-07,9.3898124242692354e-08
1.2661345297434965e+00,203,3.8493003406420444e-04,7.7168749000465151e-04
1.2660794118423482e+00,204,1.4583847085844017e-07,1.2024261270815572e-07
1.2652014862933798e+00,205,3.8401768883666317e-04,7.7613575593098508e-04
1.2651462205851884e+00,206,1.4572793559798699e-07,1.4240120451349226e-07
1.2641579824031839e+00,207,3.8295134234604981e-04,7.8158070150214775e-04
1.2641025660541829e+00,208,1.4454043545893038e-07,1.5756130151212170e-07
1.2630037512266932e+00,209,3.8173208786061892e-04,7.8798065122124823e-04
1.2629481892467926e+00,210,1.6234049190489161e-07,2.3402996951045406e-07
1.2617385308269469e+00,211,3.8037223086136417e-04,7.9558899441785574e-04
1.2616828126313704e+00,212,1.4544658635663105e-07,2.0142695029410302e-07
1.2603620487585045e+00,213,3.7883491296517876e-04,8.0418046799476017e-04
1.2603061805395830e+00,214,1.4780787657628484e-07,2.2590063914571512e-07
1.2588740447981128e+00,215,3.7715556722508293e-04,8.1394383547220555e-04
1.2588180316793041e+00,216,1.4561908057165584e-07,2.6339246981039797e-07
1.2572742633026921e+00,217,3.7532085726930335e-04,8.2497241879021864e-04
1.2572180982354304e+00,218,1.4562663593373641e-07,2.8790213702626861e-07
1.2555624367394371e+00,219,3.7333252203560413e-04,8.3728787045755796e-04
1.2555061243304508e+00,220,1.4592994069126934e-07,3.0820913103257943e-07
1.2537383142534357e+00,221,3.7118977430118893e-04,8.5099541669343129e-04
1.2536818565773742e+00,222,1.4585910798062598e-07,3.4253251989566112e-07
1.2518016480808911e+00,223,3.6889208643143444e-04,8.6618785189823027e-04
1.2517450484094439e+00,224,1.4599074347882632e-07,3.7247019841280588e-07
1.2497521990015887e+00,225,3.6644015639225862e-04,8.8297992591675233e-04
1.2496954619189133e+00,226,1.4612532146854569e-07,4.0355220609959995e-07
1.2475897397200744e+00,227,3.6383325959519103e-04,9.0150553748973125e-04
1.2475328701639725e+00,228,1.4629862490303672e-07,4.2861465887145236e-07
1.2453140545927479e+00,229,3.6107226525803151e-04,9.2190971837266891e-04
1.2452570598208832e+00,230,1.4647712363401051e-07,4.7069235578258285e-07
1.2429249459106786e+00,231,3.5815695621599667e-04,9.4436835759726203e-04
1.2428678338496992e+00,232,1.4668687482771945e-07,6.6160755643763877e-07
1.2404222383953047e+00,233,3.5508645556944356e-04,9.6909052702125100e-04
1.2403650166567712e+00,234,1.4735983156379745e-07,5.5701513720273827e-07
1.2378057667237583e+00,235,3.5186518668756242e-04,9.9627639753154971e-04
1.2377484510857442e+00,236,1.4732502819788691e-07,5.9946049266685208e-07
1.2350754092336409e+00,237,3.4849114615641779e-04,1.0262359268933302e-03
1.2350180095640673e+00,238,1.4729171943755369e-07,6.3064464367513322e-07
1.2322310645245080e+00,239,3.4496517944688761e-04,1.0592369288714087e-03
1.2321735993924974e+00,240,1.4758694058723400e-07,6.7785712810161846e-07
1.2292726734897055e+00,241,3.4128790939212569e-04,1.0956869904773479e-03
1.2292151584950475e+00,242,1.4763766840652640e-07,7.2805420034724174e-07
1.2262002101877330e+00,243,3.3746256569052211e-04,1.1359909594528485e-03
1.2261426671548883e+00,244,1.4808532619870475e-07,7.8560532259684385e-07
1.2230136992791532e+00,245,3.3348764938764992e-04,1.1404130190677689e-03
1.2229561512205920e+00,246,1.4832708780531808e-07,8.1495334267998108e-07
1.2197132140773219e+00,247,3.2936853071060510e-04,1.1124454508002700e-03
1.2196556898255861e+00,248,1.4900214393594360e-07,8.3821641850096538e-07
1.2162988917540183e+00,249,3.2509721484920927e-04,1.0873539957301983e-03
1.2162414138932500e+00,250,1.4918922485940677e-07,8.3999294991881745e-07
1.2127709226204357e+00,251,3.2069837530220024e-04,1.0647991363366058e-03
1.2127135271311944e+00,252,1.4845881532690316e-07,8.6911198261731890e-07
1.2091295640847370e+00,253,3.1615835702808725e-04,1.0445683460172076e-03
1.2090722887874932e+00,254,1.4853580284062673e-07,8.5659460430496118e-07
1.2053751767635819e+00,255,3.1146911735624385e-04,1.0265051535763179e-03
1.2053180505468957e+00,256,1.4925278334598077e-07,8.4750249888249451e-07
1.2015081688357450e+00,257,3.0665290576853985e-04,1.0103742985209177e-03
1.2014512437819505e+00,258,1.4955410333892151e-07,8.5328441530077648e-07
1.1975290696254093e+00,259,3.0170545772617444e-04,9.9609141657287293e-04
1.1974723871936344e+00,260,1.4985426389622811e-07,8.5405591619125080e-07
1.1934384898607915e+00,261,2.9663219181844390e-04,9.8348096484153426e-04
1.1933821033580756e+00,262,1.4971059481657951e-07,8.6638836937869427e-07
1.1892371560367216e+00,263,2.9143552035725787e-04,9.7247132240241329e-04
1.1891811163884871e+00,264,1.4972410074333586e-07,8.7269542576172069e-07
1.1849259024103709e+00,265,2.8612155095494374e-04,9.6294433314384658e-04
1.1848702676015941e+00,266,1.4965591578524471e-07,8.7933882301750055e-07
1.1805056868417094e+00,267,2.8069374324802968e-04,9.5481140213121718e-04
1.1804505183042997e+00,268,1.4970178133606734e-07,8.4092078437616402e-07
1.1759775942805866e+00,269,2.7515793242754110e-04,9.4799800558682042e-04
1.1759229571604646e+00,270,1.4932042880317369e-07,8.9151421809118889e-07
1.1713428461410165e+00,271,2.6951931680612459e-04,9.4244793441755116e-04
1.1712888073078211e+00,272,1.4901945064984697e-07,8.9693957377072261e-07
1.1666028010718423e+00,273,2.6378338714714650e-04,9.3809740354138730e-04
1.1665494308123652e+00,274,1.4860626234692166e-07,9.0184860084542443e-07
1.1617589631981988e+00,275,2.5795620593255919e-04,9.3489952100795021e-04
1.1617063335578195e+00,276,1.4807409665691046e-07,9.0637746320475942e-07
1.1568129838602674e+00,277,2.5204430053679775e-04,9.3281142816255605e-04
1.1567611682638237e+00,278,1.4741265477449023e-07,9.0985451251346080e-07
1.1517666627115157e+00,279,2.4605424642339151e-04,9.3179030899977948e-04
1.1517157359441759e+00,280,1.4660574357341031e-07,9.1329439705474777e-07
1.1466219496399066e+00,281,2.3999242210103605e-04,9.3180620928128726e-04
1.1465719854054830e+00,282,1.4564131867278153e-07,9.1423965230390771e-07
1.1413809401351747e+00,283,2.3386600878336114e-04,9.3283260973282898e-04
1.1413320103988651e+00,284,1.4431248188406195e-07,9.1449618452228371e-07
1.1360458701524865e+00,285,2.2768239940065891e-04,9.3485062753179712e-04
1.1359980431092467e+00,286,1.4332439234964553e-07,9.0793316371345992e-07
1.1306191063827902e+00,287,2.2144744464492439e-04,9.3781157957859387e-04
1.1305724491328095e+00,288,1.4161776039012346e-07,9.1163200987031931e-07
1.1251031398201823e+00,289,2.1516976906871908e-04,9.4174772140449468e-04
1.1250577066447236e+00,290,1.3985767564386002e-07,9.1276714211803997e-07
1.1195005583700437e+00,291,2.0885609828691609e-04,9.4662396782100417e-04
1.1194563973720810e+00,292,1.3785277813070473e-07,9.0144821170749066e-07
1.1138140302907527e+00,293,2.0251434659794470e-04,9.5241360613128908e-04
1.1137711805376753e+00,294,1.3562374951405867e-07,8.9671118521015644e-07
1.1080462839737704e+00,295,1.9615189063085711e-04,9.5914610540633982e-04
1.1080047658801273e+00,296,1.3301516032662350e-07,8.7831003240498698e-07
1.1022000621821357e+00,297,1.8977684909733756e-04,9.6681365529747206e-04
1.1021598796400935e+00,298,1.2993961189052677e-07,1.1046557675281036e-06
1.0962781002596205e+00,299,1.8339483386573167e-04,9.7553101182738236e-04
1.0962392234812524e+00,300,1.2674919417621007e-07,8.3595464281454534e-07
1.0902830169676567e+00,301,1.7702394323894371e-04,9.8494660986363984e-04
1.0902454309776657e+00,302,1.2372742856867166e-07,8.3164932812000277e-07
1.0842173820660668e+00,303,1.7066735636428443e-04,9.9548683331679173e-04
1.0841809978709613e+00,304,1.1997031820314939e-07,8.0731350550805899e-07
1.0780835169099388e+00,305,1.6434017694832911e-04,1.0069984770602820e-03
1.0780482287945168e+00,306,1.1589454161095357e-07,7.7899568105356444e-07
1.0718834934831483e+00,307,1.5805950395474463e-04,1.0195445552188172e-03
1.0718491527250178e+00,308,1.1148555483144469e-07,7.4598236897409459e-07
1.0656190232077640e+00,309,1.5184617709182823e-04,1.0331595520172239e-03
1.0655854349901459e+00,310,1.0666424712255880e-07,7.0740166023055557e-07
1.0592913593209501e+00,311,1.4572759034294161e-04,1.0478889268679993e-03
1.0592582740796224e+00,312,1.0154529233830057e-07,6.6396430315331690e-07
1.0529011747810935e+00,313,1.3974296310314706e-04,1.0638147417802082e-03
1.0528682823847333e+00,314,9.6066416788520515e-08,6.1076216430387584e-07
1.0464484331439412e+00,315,1.3394091173337097e-04,1.0809886654166664e-03
1.0464153511464998e+00,316,9.0220513613278712e-08,5.5218843225201819e-07
1.0399322288004569e+00,317,1.2839020164409648e-04,1.0995264137710838e-03
1.0398984909910125e+00,318,8.3996337064313780e-08,4.8479603000992415e-07
1.0333506054039645e+00,319,1.2318368780582793e-04,1.1195360670756224e-03
1.0333156504662655e+00,320,7.7434465048858286e-08,4.0771689652741773e-07
1.0267003491136677e+00,321,1.1844474371280942e-04,1.1411554572019677e-03
1.0266635035788481e+00,322,7.0576747347492149e-08,3.1990112573379365e-07
1.0199767420352739e+00,323,1.1433644391359981e-04,1.1645455658510948e-03
1.0199372012604986e+00,324,6.3495418388667045e-08,2.1977488156027051e-07
1.0131732743745736e+00,325,1.1106832198167469e-04,1.1899043950642629e-03
1.0131300783882740e+00,326,5.6349960611141622e-08,1.0682990179575586e-07
1.0062813013545111e+00,327,1.0890040702290550e-04,1.2174686438376971e-03
1.0062333054124819e+00,328,4.9475622395584217e-08,4.1968664749705568e-08
9.9928963386795133e-01,329,1.0813942807918762e-04,1.2475203712809114e-03
9.9923547063926255e-01,330,4.3527763597818674e-08,1.8340494916236885e-07
9.9218404241691061e-01,331,1.0912449127914461e-04,1.2301213973859675e-03
9.9212207453524548e-01,332,3.9707774182372971e-08,3.4029281713915808e-07
9.8494665254592939e-01,333,1.1220208901190273e-04,1.1759578226731716e-03
9.8487491177350472e-01,334,3.9709763973150916e-08,4.9871313839310015e-07
9.7755520024277165e-01,335,1.1769772230641983e-04,1.1264364870394834e-03
9.7747130872991050e-01,336,4.4844440628437675e-08,6.6161962001163714e-07
9.6998210542839691e-01,337,1.2589718884670260e-04,1.0811183746610351e-03
9.6988317358814358e-01,338,5.5160875470268182e-08,8.3088731710774418e-07
9.6219330890721488e-01,339,1.3704836731135675e-04,1.0397257203416457e-03
9.6207580167348994e-01,340,7.0044756891777083e-08,1.0085680598195787e-06
9.5414679858088414e-01,341,1.5138511507423397e-04,1.0021632756845537e-03
9.5400635916008436e-01,342,8.9119795652414400e-08,1.1971246312872340e-06
9.4579072507867157e-01,343,1.6916475403848968e-04,9.6858602829717852e-04
9.4562194165216740e-01,344,1.1244466998483956e-07,1.3990624270273395e-06
9.3706097322840343e-01,345,1.9070959622230957e-04,9.3951245357886250e-04
9.3685706817004077e-01,346,1.4061824143900542e-07,1.6184671394207924e-06
9.2787800815511368e-01,347,2.1644582912394372e-04,9.1602039112274869e-04
9.2763042458543143e-01,348,1.7440671485728726e-07,1.8582638839081119e-06
9.1814275796606259e-01,349,2.4693969124006329e-04,9.0008608977133493e-04
9.1784060935405554e-01,350,2.1503363950119091e-07,2.1230466227729804e-06
9.0773121981415050e-01,351,2.8292959355987271e-04,8.9510293394601335e-04
9.0736056688799516e-01,352,2.6403919311858616e-07,2.4176652899295847e-06
8.9648740779341185e-01,353,3.2535498171797029e-04,9.0664377842200172e-04
8.9603033025260259e-01,354,3.2325183347721377e-07,2.7470797843488038e-06
8.8421421821372848e-01,355,3.7537086859943492e-04,9.4341888657622087e-04
8.8364768910974556e-01,356,3.9462443525876212e-07,3.1154192955978080e-06
8.7066189284506312e-01,357,4.3432678200670946e-04,1.0181897718565432e-03
8.6995657818128436e-01,358,4.7983850662794435e-07,3.5236334520455452e-06
8.5551423769623403e-01,359,5.0365289046505949e-04,1.1482365619259042e-03
8.5463365674038760e-01,360,5.7964023949218532e-07,3.9641215394023332e-06
8.3837419652181355e-01,361,5.8454033775706064e-04,1.3551067704646003e-03
8.3727539309390464e-01,362,6.9383270711314781e-07,4.4103297853174602e-06
8.1875390021552663e-01,363,6.7720280691438710e-04,1.6635752867635598e-03
8.1739220488320330e-01,364,8.2659899475348420e-07,4.8040356270726600e-06
7.9608166032934780e-01,365,7.7940429918718049e-04,2.0987427382781840e-03
7.9442422553938419e-01,366,1.0088344063769018e-06,5.0777002000059847e-06
7.6975014346754878e-01,367,8.8405513722191885e-04,2.6775023057223029e-03
