0.025359,0.5
0.025,0.5
0.031944,0.50954
0.046699,0.51905
0.083299,0.53798
0.16483,0.57546
0.16352,0.57488
0.27188,0.62053
0.2696,0.6196
0.2843,0.66316
0.28521,0.66187
0.25829,0.70255
0.25952,0.70088
0.23392,0.73793
0.23542,0.73597
0.21194,0.76889
0.21356,0.76683
0.19267,0.79554
0.19425,0.79359
0.17603,0.81839
0.17745,0.81668
0.16172,0.83809
0.16293,0.83665
0.14939,0.85526
0.15039,0.85409
0.13872,0.87042
0.13953,0.86947
0.1273,0.88397
0.13009,0.88321
0.12129,0.89624
0.12182,0.89564
0.11412,0.90749
0.11455,0.907
0.10776,0.9179
0.10806,0.9175
0.1021,0.92764
0.10238,0.92731
0.097038,0.93682
0.097263,0.93656
0.092486,0.94555
0.092667,0.94534
0.08838,0.95391
0.088524,0.95373
0.084661,0.96196
0.084776,0.96181
0.081284,0.96975
0.081374,0.96963
0.078209,0.97732
0.078277,0.97722
0.0754,0.98472
0.075452,0.98463
0.072831,0.99196
0.072868,0.99188
0.070476,0.99906
0.0705,0.999
0.068313,1.0061
0.068326,1.006
0.066324,1.0129
0.066329,1.0129
0.064494,1.0198
0.06449,1.0197
0.062807,1.0265
0.062796,1.0264
0.061204,1.0331
0.061234,1.0331
0.059815,1.0397
0.059794,1.0397
0.058489,1.0462
0.058464,1.0462
0.057265,1.0527
0.057236,1.0527
0.056134,1.0591
0.056101,1.059
0.055089,1.0654
0.055054,1.0654
0.03221,1.0717
0.051051,1.0716
0.053046,1.0779
0.053192,1.0778
0.052403,1.084
0.052367,1.084
0.051649,1.0901
0.051606,1.09
0.050948,1.0961
0.050903,1.096
0.050301,1.102
0.050255,1.102
0.049704,1.1078
0.049658,1.1078
0.049155,1.1136
0.049107,1.1136
0.048649,1.1193
0.048601,1.1193
0.048183,1.1249
0.048135,1.1249
0.047745,1.1304
0.047707,1.1304
0.047362,1.1359
0.034389,1.1358
0.047001,1.1412
0.046952,1.1412
0.046671,1.1464
0.046622,1.1464
0.046367,1.1516
0.046319,1.1515
0.04609,1.1566
0.046041,1.1566
0.044572,1.1616
0.045788,1.1615
0.045605,1.1664
0.045557,1.1664
0.045394,1.1712
0.045346,1.1711
0.045201,1.1758
0.045154,1.1758
0.045026,1.1804
0.04498,1.1803
0.044867,1.1848
0.044821,1.1847
0.033917,1.1891
0.044677,1.189
0.03808,1.1933
0.01339,1.1932
0.044473,1.1974
0.044429,1.1973
0.02731,1.2014
0.044323,1.2013
0.04427,1.2052
0.0023411,1.2052
0.03613,1.209
0.044141,1.2089
0.025267,1.2126
0.044062,1.2126
0.043877,1.2162
0.010579,1.2161
0.043125,1.2196
0.043933,1.2195
0.043916,1.2229
0.043878,1.2228
0.040077,1.2261
0.043829,1.226
0.043821,1.2292
0.043785,1.2291
0.033504,1.2321
0.043697,1.2321
0.043746,1.235
0.043712,1.2349
0.043715,1.2377
0.043671,1.2377
0.043687,1.2403
0.043655,1.2403
0.043662,1.2428
0.043632,1.2428
