Om,normR,smin,smax,cond,stepnorm
1.2718476546794653e+00,6.7595849192291500e-06,3.0723937095330733e-01,6.7734204238592568e+00,2.2046069170245264e+01,1.7652549659237518e-05
1.2404429971731026e+00,1.4364598767612265e-03,2.6704378251442562e-01,6.4165678135867870e+00,2.4028149066680353e+01,3.4479436896172532e-03
1.2427455430065559e+00,6.1980579456800965e-06,2.6984508334825641e-01,6.4422064298872455e+00,2.3873721729341529e+01,1.4982376172915620e-05
1.2160710657213101e+00,1.3328417013222431e-03,2.3610875638153297e-01,6.1448261070609247e+00,2.6025405415847324e+01,2.8905734183013627e-03
1.2182799593635314e+00,4.7843762120368061e-06,2.3874469444163313e-01,6.1689476885312944e+00,2.5839098552363609e+01,1.1609719071687367e-05
1.1960434455158797e+00,1.1936256471473973e-03,2.1075771753221295e-01,5.9246973247290002e+00,2.8111413399717847e+01,2.3674010069015278e-03
1.1980073630304562e+00,3.3366961758972124e-06,2.1306327064889988e-01,5.9457971111021761e+00,2.7906251007007512e+01,9.2834790440615301e-06
1.1796572041111557e+00,1.0480549847639840e-03,1.8990398374254061e-01,5.7463783725674054e+00,3.0259388240943743e+01,1.9336497253381508e-03
1.1813245047720018e+00,2.2626369128988690e-06,1.9183455259035848e-01,5.7640512555442251e+00,3.0046991940251353e+01,7.9819184938306215e-06
1.1662438179939962e+00,9.1380447051626554e-04,1.7259338239386998e-01,5.6012509317040831e+00,3.2453451308588662e+01,1.6030467154073329e-03
1.1676275499419446e+00,1.5731080240724174e-06,1.7417724940167814e-01,5.6157560894193521e+00,3.2241616564219584e+01,7.1322098166341601e-06
1.1552473895440583e+00,7.9792460539874403e-04,1.5806842937441010e-01,5.4824673654136102e+00,3.4684138933445830e+01,1.3658129202959314e-03
1.1563875857548489e+00,1.1487807688517994e-06,1.5936112448151121e-01,5.4943116014965021e+00,3.4477113658506731e+01,6.4461650428274473e-06
1.1462282807452659e+00,7.0123515031358290e-04,1.4574953619186212e-01,5.3847830454380556e+00,3.6945455787589076e+01,1.2038943398897598e-03
1.1471696916702860e+00,8.8229817803775836e-07,1.4680858200012095e-01,5.3944907435871459e+00,3.6745064015281486e+01,5.8528575331185290e-06
1.1388434739540998e+00,6.2183370217458532e-04,1.3519645286185716e-01,5.3042084247259433e+00,3.9233340168663659e+01,1.0988901883923876e-03
1.1396261742848934e+00,7.0649842771982781e-07,1.3607157021019914e-01,5.3122325444405494e+00,3.9039988560684478e+01,5.3424749898058493e-06
1.1328249254571354e+00,5.5702455833184076e-04,1.2607314848452059e-01,5.2376926819143117e+00,4.1544870933063130e+01,1.0351789805601909e-03
1.1334817544343925e+00,5.8425739482903984e-07,1.2680420302753456e-01,5.2443960872017952e+00,4.1358219696101202e+01,4.9116295543185343e-06
1.1279615978788819e+00,5.0416977032084992e-04,1.1812074777780460e-01,5.1828791738183568e+00,4.3877805307902413e+01,1.0007304656119338e-03
1.1285184249114808e+00,4.9545886010351919e-07,1.1873866933639578e-01,5.1885431962281681e+00,4.3697164750336107e+01,4.5538757360836850e-06
1.1240856802283570e+00,4.6098551427430220e-04,1.1113767025371817e-01,5.1379265297654477e+00,4.6230288236526675e+01,9.8688417375644970e-04
1.1245625495725711e+00,4.2880952644010600e-07,1.1166615434254262e-01,5.1427666040968845e+00,4.6054837603891507e+01,4.2606831302057749e-06
1.1210622683374381e+00,4.2559600652753782e-04,7.9142114234497865e-02,2.1139843609613127e+01,2.6711244467106133e+02,9.8771164692873395e-04
1.1214746352584000e+00,3.7760030830457139e-07,1.0542239015977001e-01,5.1055591926724428e+00,4.8429552630469232e+01,4.0233695561574045e-06
1.1187816755698696e+00,3.9649585682051863e-04,9.9477167111937562e-02,5.0720700947603641e+00,5.0987279212052471e+01,9.9930857817749370e-04
1.1191414721621842e+00,3.3755542673493639e-07,9.9876901215474781e-02,5.0757171146227815e+00,5.0819729615683727e+01,3.8336025177693318e-06
1.1171536879654278e+00,3.7248810532405436e-04,9.4572004096604739e-02,5.0490572157309384e+00,5.3388497621065071e+01,1.0191886647910994e-03
1.1174701680466770e+00,3.0587757180953529e-07,9.4925037301139548e-02,5.0522678318575345e+00,5.3223764514621720e+01,3.6847743245881571e-06
1.1161032485260272e+00,3.5262282291987669e-04,9.0167380822145204e-02,5.0315670059068287e+00,5.5802519270594921e+01,1.0458299622374372e-03
